date,open,high,low,close
2017-07-19 07-AM,2348.33,2388.99,2340,2376.56
2017-07-19 08-AM,2376.56,2396,2367.28,2372.79
2017-07-19 09-AM,2372.79,2372.79,2344.58,2359.46
2017-07-19 10-AM,2359.46,2379.3,2358.43,2363.9
2017-07-19 11-AM,2363.9,2365.09,2340.05,2345.47
2017-07-19 12-PM,2345.47,2345.47,2311,2322.46
2017-07-19 01-PM,2322.46,2327.99,2289.16,2290
2017-07-19 02-PM,2290,2342.59,2288,2340.08
2017-07-19 03-PM,2340.08,2347.98,2307.1,2315
2017-07-19 04-PM,2315,2324.9,2275,2297.04
2017-07-19 05-PM,2297.04,2308.82,2273.09,2279.83
2017-07-19 06-PM,2279.83,2285,2264.01,2283.14
2017-07-19 07-PM,2283.14,2283.2,2217.2,2217.25
2017-07-19 08-PM,2217.25,2255,2216,2255
2017-07-19 09-PM,2255,2282,2245.01,2259.45
2017-07-19 10-PM,2259.45,2279.42,2251.12,2261.4
2017-07-19 11-PM,2261.4,2273.98,2242.63,2258.99
2017-07-20 12-AM,2258.99,2279,2258.99,2274.25
2017-07-20 01-AM,2274.25,2317.56,2271.76,2312.36
2017-07-20 02-AM,2312.36,2335,2296.06,2328.26
2017-07-20 03-AM,2328.26,2332.68,2316.43,2320.01
2017-07-20 04-AM,2320.01,2326.99,2316.5,2319.43
2017-07-20 05-AM,2319.43,2344.74,2317.5,2339.85
2017-07-20 06-AM,2339.85,2349.22,2316,2318.55
